CSV_File,THRESH,EBM_AVG_SUCCESS,MSE_AVG_SUCCESS,MSE_EBM_AVG,MSE_MSE_AVG
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.1,1.0,1.0,1.2166052461719612e-16,1.2166052461719612e-16
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.1,1.0,1.0,1.2539856914594907e-16,1.2539856914594907e-16
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.1,1.0,1.0,1.17756504398967e-16,1.17756504398967e-16
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.05,1.0,1.0,1.2166052461719612e-16,1.2166052461719612e-16
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.05,1.0,1.0,1.2539856914594907e-16,1.2539856914594907e-16
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.05,1.0,1.0,1.17756504398967e-16,1.17756504398967e-16
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.03,1.0,1.0,1.2166052461719612e-16,1.2166052461719612e-16
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.03,1.0,1.0,1.2539856914594907e-16,1.2539856914594907e-16
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.03,1.0,1.0,1.17756504398967e-16,1.17756504398967e-16
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.01,1.0,1.0,1.2166052461719612e-16,1.2166052461719612e-16
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.01,1.0,1.0,1.2539856914594907e-16,1.2539856914594907e-16
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.01,1.0,1.0,1.17756504398967e-16,1.17756504398967e-16
