CSV_File,THRESH,EBM_AVG_SUCCESS,MSE_AVG_SUCCESS,MSE_EBM_AVG,MSE_MSE_AVG
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.1,0.99,0.985,0.013541462434524936,0.01191547648475306
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.1,0.995,0.995,0.008759679777157236,0.004141918347462621
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.1,0.98,0.97,0.012435277138647236,0.008118550477965565
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.05,0.935,0.92,0.013541462434524936,0.01191547648475306
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.05,0.98,0.98,0.008759679777157236,0.004141918347462621
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.05,0.95,0.945,0.012435277138647236,0.008118550477965565
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.03,0.85,0.885,0.013541462434524936,0.01191547648475306
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.03,0.94,0.96,0.008759679777157236,0.004141918347462621
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.03,0.92,0.94,0.012435277138647236,0.008118550477965565
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.01,0.645,0.74,0.013541462434524936,0.01191547648475306
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.01,0.765,0.91,0.008759679777157236,0.004141918347462621
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.01,0.69,0.9,0.012435277138647236,0.008118550477965565
